id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
0	(2493, 490)	40.65671757651032	27.633445746047908	75.50962829589844	6.0671155656237366	12.426581499671606	74.13301247841022	37.88546255506608	8.371383	10.427974	1.135	0.0	2
1	(2489, 60)	278.9691241824992	80.13193602078812	90.89434051513672	15.983173258986557	35.72926310068147	470.9969143589047	113.65638766519824	7.09375	43.11427	8.665978	0.0	13
2	(2466, 237)	827.7862950959654	114.92073005516623	170.28602600097656	42.37701734810976	32.33535300264951	1220.283723728386	148.01762114537445	8.623278	10.2725315	43.060265	0.0	13
3	(2469, 346)	795.4743930602185	113.69306621047369	43.25559616088867	35.43182397546521	35.054295634058725	1147.703235071513	152.4229074889868	9.417757	41.699368	8.480461	0.0	2
4	(2466, 426)	971.5888140658659	124.31002886809966	159.67691040039062	44.12771143512318	36.92712255411845	1156.436181567661	148.01762114537445	6.390467	8.988769	9.220811	0.0	2
5	(2462, 151)	1224.2620660210755	139.6529482849894	0.8281906843185425	57.603328568031536	40.41647885455408	1469.4637970851365	163.87665198237886	9.620619	9.942563	10.262455	0.0	13
6	(2433, 58)	1209.7071551941626	134.27805370171166	155.13816833496094	43.70566032912638	41.5098962695782	1714.7625608880437	179.73568281938327	7.890056	39.389526	10.065491	7.27785	13
7	(2414, 484)	698.9268179083623	135.2476619413771	179.91891479492188	60.937976046714226	18.522849092157127	874.6531079586252	158.59030837004406	7.432302	9.563366	0.0	7.0179715	2
8	(2382, 422)	1273.4576646160415	138.94139586041152	18.79607391357422	45.747184789693236	40.96690990697851	1558.1517203904598	170.04405286343612	7.386157	7.5975776	8.295452	6.6025567	2
9	(2330, 403)	18.242154903064293	22.756323415277286	84.67684936523438	2.3053581638100322	12.920674316926316	88.49385782763105	43.17180616740088	10.149372	20.009115	6.0085487	7.355462	2
10	(2333, 487)	61.712821906111124	32.29678779971757	86.22639465332031	6.415704858866958	17.049250178735512	139.53307846067264	51.10132158590309	8.262302	16.57075	2.7429168	10.365688	2
11	(2328, 440)	51.03922063304159	41.988417755664706	90.68976593017578	3.4281420759272954	22.990120169516974	163.98532864988647	65.19823788546256	10.822831	7.0782504	17.659143	7.0373445	2
12	(2372, 233)	1522.540705233946	155.42342820356595	178.08865356445312	58.863743172984194	37.99358341015391	2207.882939703856	204.40528634361235	15.453238	10.281236	38.950466	12.231004	13
13	(2373, 339)	1514.778086126259	159.58899805724357	3.4649431705474854	58.79184379077584	35.50191472905097	2356.3430301383687	217.62114537444933	26.166862	38.375275	8.599481	17.106054	2
14	(2308, 486)	106.93007820838751	40.59124906682758	99.7181625366211	11.077812608908598	15.110666055517244	201.43996584447592	60.79295154185022	11.706298	15.997776	0.5675	8.05936	2
15	(2305, 424)	269.94507946981315	77.35593791575158	83.2734375	10.096506388480558	34.383695190773565	534.0681946088611	116.29955947136564	9.153036	23.482746	17.622845	9.664569	2
16	(2299, 234)	112.75204253915271	57.02900597702564	95.98362731933594	5.5691887885944515	25.284541309448905	382.3089910535815	106.6079295154185	12.892636	19.226912	47.9432	11.153778	13
17	(2338, 51)	1540.8798928758563	152.673366206333	6.503580570220947	53.957834027357165	42.31111044551908	2075.3362184401017	193.83259911894274	13.410883	23.069489	9.328296	8.9269285	13
18	(2350, 145)	2036.7171883793592	178.50042203449468	0.8057234287261963	69.61193267577134	43.30312304361662	2486.366900192125	219.38325991189427	11.069788	9.688747	10.652021	10.863673	13
19	(2289, 343)	161.17137922334996	65.64413765978708	98.29283905029297	7.723918509492678	26.073874404542305	527.0818374119428	119.8237885462555	11.424115	49.436028	22.850494	16.372414	2
20	(2274, 146)	123.0375128568379	75.3800431012057	93.59342956542969	5.507630329555655	32.660685588983725	372.60571716897283	116.29955947136564	10.424588	22.47116	21.183239	8.621978	13
21	(2272, 48)	129.15057540414136	66.6137458469374	93.14830780029297	5.77431317258999	32.38886936326701	426.555919967397	112.77533039647577	12.941786	38.294796	21.864351	11.295015	13
22	(2273, 235)	157.1930369306604	60.402069585438866	96.35029602050781	7.619692661466744	27.244295167232327	523.0064623804071	116.29955947136564	15.266739	23.466528	52.414974	12.717449	13
23	(2270, 488)	152.63249820489435	51.1196608060257	37.391693115234375	17.225793246797206	16.666494995932574	271.30353781365835	74.00881057268722	13.278374	15.971072	0.0	10.038889	2
24	(2268, 424)	421.02505385317005	85.97106959851303	84.83087158203125	16.345268598959503	34.41305753306673	699.8001125579771	126.87224669603525	10.153143	19.797895	18.513666	9.001584	2
25	(2258, 338)	268.48958838712184	70.77931575313013	99.8260498046875	12.829084452297304	27.299744592569873	667.0030468279998	126.87224669603525	17.296164	55.284306	17.010418	11.366539	2
26	(2249, 53)	115.66302470453532	66.20452456537322	96.94657897949219	4.649893587243264	25.58043725744161	438.19984862892744	115.41850220264317	13.325797	39.885986	24.336752	12.560301	13
27	(2250, 146)	220.84651361369328	77.50710343474333	94.19828796386719	8.058590777193135	36.186697867945796	527.0818374119428	119.8237885462555	12.358651	24.514507	23.33456	10.143402	13
28	(2242, 229)	151.85623629412564	58.53306480441324	95.24203491210938	7.49859992530649	27.244255549610738	516.7963670942577	113.65638766519824	16.79261	24.43063	52.576164	14.913736	13
29	(2241, 378)	81.79859884725107	35.47441019360714	167.9934539794922	12.797112386520768	8.163589840367818	201.24590036678376	74.8898678414097	16.515886	15.566766	12.574493	14.913271	2
30	(2223, 484)	182.32451629179687	53.913998236215065	92.66764068603516	16.683421563126622	17.97764973939578	280.8127462205748	74.8898678414097	6.988527	9.815604	0.0	13.72117	2
31	(2219, 54)	308.0789458363252	77.97893942190161	96.55970001220703	11.90640085957391	33.870348051563205	727.5514758679578	129.51541850220264	15.485249	43.052025	24.376272	12.881887	13
32	(2211, 144)	520.7747093869472	95.66269939691485	98.27851867675781	17.628244794767433	37.98390447618401	916.7653166178269	143.6123348017621	12.785448	24.217512	23.205921	12.400399	13
33	(2207, 336)	424.0330687573988	79.39444733086137	102.18883514404297	22.245278654598238	25.72724589211705	930.5439655339712	136.56387665198238	19.289324	54.780407	16.429697	17.441265	2
34	(2202, 231)	379.00987793281456	79.33183273029748	99.67730712890625	17.805021126596777	29.45842484237687	936.9481262978129	141.8502202643172	21.084517	22.961573	55.438435	17.463837	20
35	(2211, 426)	805.6628306390577	110.61473690990834	99.85523223876953	28.88548859738628	37.05178687256927	1078.227794057715	148.8986784140969	8.405649	14.741651	9.52024	10.161445	2
